t,x,y,z
0,0,0,0.2
0.001,0.00504968,0,0.20494
0.002,0.0100993,0,0.20987
0.003,0.0151488,0,0.21479
0.004,0.0201983,0,0.219701
0.005,0.0252476,0,0.224601
0.006,0.030297,0,0.229492
0.007,0.0353462,0,0.234373
0.008,0.0403953,0,0.239244
0.009,0.0454444,0,0.244105
0.01,0.0504934,0,0.248957
0.011,0.0555424,0,0.253798
0.012,0.0605912,0,0.25863
0.013,0.06564,0,0.263452
0.014,0.0706888,0,0.268264
0.015,0.0757374,0,0.273066
0.016,0.080786,0,0.277858
0.017,0.0858345,0,0.282641
0.018,0.0908829,0,0.287414
0.019,0.0959312,0,0.292177
0.02,0.100979,0,0.29693
0.021,0.106028,0,0.301673
0.022,0.111076,0,0.306406
0.023,0.116124,0,0.31113
0.024,0.121172,0,0.315844
0.025,0.12622,0,0.320547
0.026,0.131268,0,0.325241
0.027,0.136315,0,0.329926
0.028,0.141363,0,0.3346
0.029,0.146411,0,0.339265
0.03,0.151458,0,0.343919
0.031,0.156506,0,0.348564
0.032,0.161553,0,0.353199
0.033,0.1666,0,0.357824
0.034,0.171647,0,0.36244
0.035,0.176695,0,0.367045
0.036,0.181742,0,0.371641
0.037,0.186789,0,0.376227
0.038,0.191836,0,0.380803
0.039,0.196882,0,0.385369
0.04,0.201929,0,0.389925
0.041,0.206976,0,0.394472
0.042,0.212023,0,0.399009
0.043,0.217069,0,0.403536
0.044,0.222116,0,0.408053
0.045,0.227162,0,0.41256
0.046,0.232208,0,0.417057
0.047,0.237254,0,0.421545
0.048,0.242301,0,0.426022
0.049,0.247347,0,0.43049
0.05,0.252393,0,0.434948
0.051,0.257439,0,0.439396
0.052,0.262485,0,0.443835
0.053,0.26753,0,0.448263
0.054,0.272576,0,0.452682
0.055,0.277622,0,0.457091
0.056,0.282667,0,0.46149
0.057,0.287713,0,0.465879
0.058,0.292758,0,0.470258
0.059,0.297803,0,0.474628
0.06,0.302849,0,0.478987
0.061,0.307894,0,0.483337
0.062,0.312939,0,0.487677
0.063,0.317984,0,0.492007
0.064,0.323029,0,0.496328
0.065,0.328074,0,0.500638
0.066,0.333119,0,0.504939
0.067,0.338163,0,0.509229
0.068,0.343208,0,0.51351
0.069,0.348253,0,0.517782
0.07,0.353297,0,0.522043
0.071,0.358341,0,0.526294
0.072,0.363386,0,0.530536
0.073,0.36843,0,0.534768
0.074,0.373474,0,0.53899
0.075,0.378518,0,0.543202
0.076,0.383562,0,0.547404
0.077,0.388606,0,0.551597
0.078,0.39365,0,0.555779
0.079,0.398694,0,0.559952
0.08,0.403738,0,0.564115
0.081,0.408781,0,0.568268
0.082,0.413825,0,0.572412
0.083,0.418868,0,0.576545
0.084,0.423912,0,0.580669
0.085,0.428955,0,0.584782
0.086,0.433998,0,0.588886
0.087,0.439042,0,0.59298
